,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
530,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,"Meh, table wine",red
529,8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,"Meh, table wine",red
528,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,"Meh, table wine",red
527,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,"Meh, table wine",red
526,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,"Meh, table wine",red
525,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,"Meh, table wine",red
524,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,"Meh, table wine",red
523,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"Meh, table wine",red
522,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,"Meh, table wine",red
504,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,"Meh, table wine",red
521,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"Meh, table wine",red
519,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,"Meh, table wine",red
518,10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,"Meh, table wine",red
517,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,"Meh, table wine",red
516,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,"Meh, table wine",red
515,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,"Meh, table wine",red
514,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,"Meh, table wine",red
513,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,"Meh, table wine",red
512,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,"Meh, table wine",red
511,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,"Meh, table wine",red
510,10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,"Meh, table wine",red
509,9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,"Meh, table wine",red
508,12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,"Meh, table wine",red
507,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,"Meh, table wine",red
506,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,"Meh, table wine",red
520,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,"Meh, table wine",red
605,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,"Meh, table wine",red
606,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,"Meh, table wine",red
607,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,"Meh, table wine",red
706,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,"Meh, table wine",red
705,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,"Meh, table wine",red
704,9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,"Meh, table wine",red
703,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,"Meh, table wine",red
702,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,"Meh, table wine",red
701,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,"Meh, table wine",red
700,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"Meh, table wine",red
699,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"Meh, table wine",red
698,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,"Meh, table wine",red
697,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"Meh, table wine",red
696,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"Meh, table wine",red
695,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,"Meh, table wine",red
694,7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,"Meh, table wine",red
693,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,"Meh, table wine",red
707,6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,"Meh, table wine",red
692,10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,"Meh, table wine",red
690,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,"Meh, table wine",red
689,6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,"Meh, table wine",red
688,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,"Meh, table wine",red
687,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,"Meh, table wine",red
686,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,"Meh, table wine",red
685,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,"Meh, table wine",red
684,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,"Meh, table wine",red
683,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,"Meh, table wine",red
682,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,"Meh, table wine",red
681,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,"Meh, table wine",red
680,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,"Meh, table wine",red
679,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,"Meh, table wine",red
678,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,"Meh, table wine",red
677,8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,"Meh, table wine",red
691,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,"Meh, table wine",red
676,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,"Meh, table wine",red
708,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,"Meh, table wine",red
710,6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"Meh, table wine",red
740,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,"Meh, table wine",red
739,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,"Meh, table wine",red
738,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,"Meh, table wine",red
737,11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,"Meh, table wine",red
736,7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,"Meh, table wine",red
735,7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,"Meh, table wine",red
734,5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,"Meh, table wine",red
733,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,"Meh, table wine",red
732,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,"Meh, table wine",red
731,7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,"Meh, table wine",red
730,6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,"Meh, table wine",red
729,7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,"Meh, table wine",red
728,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,"Meh, table wine",red
727,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,"Meh, table wine",red
709,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"Meh, table wine",red
726,7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,"Meh, table wine",red
724,7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,"Meh, table wine",red
723,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,"Meh, table wine",red
722,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,"Meh, table wine",red
721,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,"Meh, table wine",red
720,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,"Meh, table wine",red
719,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,"Meh, table wine",red
718,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,"Meh, table wine",red
717,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,"Meh, table wine",red
716,9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,"Meh, table wine",red
715,7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,"Meh, table wine",red
714,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,"Meh, table wine",red
713,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,"Meh, table wine",red
712,9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,"Meh, table wine",red
711,9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,"Meh, table wine",red
725,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,"Meh, table wine",red
675,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,"Meh, table wine",red
674,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,"Meh, table wine",red
673,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,"Meh, table wine",red
637,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,"Meh, table wine",red
636,9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,"Meh, table wine",red
635,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,"Meh, table wine",red
634,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,"Meh, table wine",red
633,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,"Meh, table wine",red
632,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,"Meh, table wine",red
631,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,"Meh, table wine",red
630,8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,"Meh, table wine",red
629,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,"Meh, table wine",red
628,9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,"Meh, table wine",red
627,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,"Meh, table wine",red
626,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,"Meh, table wine",red
625,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,"Meh, table wine",red
624,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,"Meh, table wine",red
638,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,"Meh, table wine",red
623,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,"Meh, table wine",red
621,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,"Meh, table wine",red
620,8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,"Meh, table wine",red
619,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,"Meh, table wine",red
618,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,"Meh, table wine",red
617,6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,"Meh, table wine",red
616,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,"Meh, table wine",red
615,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,"Meh, table wine",red
614,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,"Meh, table wine",red
613,7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,"Meh, table wine",red
612,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,"Meh, table wine",red
611,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,"Meh, table wine",red
610,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,"Meh, table wine",red
609,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,"Meh, table wine",red
608,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,"Meh, table wine",red
622,7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,"Meh, table wine",red
639,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,"Meh, table wine",red
640,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,"Meh, table wine",red
641,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,"Meh, table wine",red
672,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,"Meh, table wine",red
671,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,"Meh, table wine",red
670,7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,"Meh, table wine",red
669,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,"Meh, table wine",red
668,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,"Meh, table wine",red
667,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,"Meh, table wine",red
666,8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,"Meh, table wine",red
665,10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,"Meh, table wine",red
664,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,"Meh, table wine",red
663,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,"Meh, table wine",red
662,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,"Meh, table wine",red
661,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,"Meh, table wine",red
660,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,"Meh, table wine",red
659,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"Meh, table wine",red
658,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,"Meh, table wine",red
657,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"Meh, table wine",red
656,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,"Meh, table wine",red
642,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,"Meh, table wine",red
643,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,"Meh, table wine",red
644,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,"Meh, table wine",red
645,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,"Meh, table wine",red
646,6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,"Meh, table wine",red
647,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,"Meh, table wine",red
471,9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,"Meh, table wine",red
648,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,"Meh, table wine",red
650,6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,"Meh, table wine",red
651,8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,"Meh, table wine",red
652,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,"Meh, table wine",red
653,8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,"Meh, table wine",red
654,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,"Meh, table wine",red
655,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,"Meh, table wine",red
649,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,"Meh, table wine",red
470,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,"Meh, table wine",red
469,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,"Meh, table wine",red
468,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,"Meh, table wine",red
295,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,"Meh, table wine",red
294,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,"Meh, table wine",red
293,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,"Meh, table wine",red
292,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,"Meh, table wine",red
291,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,"Meh, table wine",red
290,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,"Meh, table wine",red
289,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,"Meh, table wine",red
288,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,"Meh, table wine",red
287,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,"Meh, table wine",red
286,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,"Meh, table wine",red
285,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,"Meh, table wine",red
284,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,"Meh, table wine",red
283,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,"Meh, table wine",red
282,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,"Meh, table wine",red
296,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"Meh, table wine",red
281,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,"Meh, table wine",red
279,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,"Meh, table wine",red
278,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,"Meh, table wine",red
277,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,"Meh, table wine",red
276,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,"Meh, table wine",red
275,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,"Meh, table wine",red
274,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,"Meh, table wine",red
273,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,"Meh, table wine",red
272,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,"Meh, table wine",red
271,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,"Meh, table wine",red
270,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,"Meh, table wine",red
269,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,"Meh, table wine",red
268,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,"Meh, table wine",red
267,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,"Meh, table wine",red
266,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,"Meh, table wine",red
280,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,"Meh, table wine",red
265,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,"Meh, table wine",red
297,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"Meh, table wine",red
299,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"Meh, table wine",red
329,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,"Meh, table wine",red
328,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,"Meh, table wine",red
327,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,"Meh, table wine",red
326,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"Meh, table wine",red
325,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"Meh, table wine",red
324,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,"Meh, table wine",red
323,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,"Meh, table wine",red
322,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,"Meh, table wine",red
321,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,"Meh, table wine",red
320,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,"Meh, table wine",red
319,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,"Meh, table wine",red
318,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,"Meh, table wine",red
317,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,"Meh, table wine",red
316,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,"Meh, table wine",red
298,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"Meh, table wine",red
315,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,"Meh, table wine",red
313,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"Meh, table wine",red
312,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"Meh, table wine",red
311,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"Meh, table wine",red
310,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,"Meh, table wine",red
309,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"Meh, table wine",red
308,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,"Meh, table wine",red
307,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,"Meh, table wine",red
306,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,"Meh, table wine",red
305,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,"Meh, table wine",red
304,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,"Meh, table wine",red
303,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,"Meh, table wine",red
302,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,"Meh, table wine",red
301,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"Meh, table wine",red
300,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"Meh, table wine",red
314,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"Meh, table wine",red
264,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,"Meh, table wine",red
263,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,"Meh, table wine",red
262,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,"Meh, table wine",red
226,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,"Meh, table wine",red
225,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,"Meh, table wine",red
224,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,"Meh, table wine",red
223,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,"Meh, table wine",red
222,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,"Meh, table wine",red
221,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,"Meh, table wine",red
220,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,"Meh, table wine",red
219,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,"Meh, table wine",red
218,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,"Meh, table wine",red
217,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"Meh, table wine",red
216,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,"Meh, table wine",red
215,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,"Meh, table wine",red
214,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,"Meh, table wine",red
213,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"Meh, table wine",red
227,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,"Meh, table wine",red
212,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,"Meh, table wine",red
210,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,"Meh, table wine",red
209,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,"Meh, table wine",red
208,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,"Meh, table wine",red
207,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,"Meh, table wine",red
206,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,"Meh, table wine",red
205,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,"Meh, table wine",red
204,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,"Meh, table wine",red
203,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,"Meh, table wine",red
202,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,"Meh, table wine",red
201,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,"Meh, table wine",red
200,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,"Meh, table wine",red
199,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,"Meh, table wine",red
